id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
35iwgR4jXetI318WEWsa1Q,Carve,6,126903,0,['Uli'],['45tIt06XoI0Iio4LBEVpls'],1922-02-22,0.645,0.445,0,-13.338,1,0.451,0.674,0.744,0.151,0.127,104.851,3
3h8ioTTWfrC25hrHwQQpLc,All Or Nothing at All,0,164320,0,"['Dick Haymes', 'Harry James', 'His Orchestra']","['3BiJGZsyX9sJchTqcSA7Su', '5MpELOfAiq7aIBTij30phD', '6lXiGaWjISZnER53ZJe6QO']",1922,0.237,0.555,2,-6.611,0,0.0401,0.812,0.000262,0.366,0.292,92.213,3
3hkX4bDXEzd4w6aTiDkvrR,Keepsakes,0,180733,0,['Dick Haymes'],['3BiJGZsyX9sJchTqcSA7Su'],1922,0.176,0.358,0,-9.713,0,0.0459,0.989,0.335,0.102,0.111,83.026,4
4DE7VBCgyTjqV0Plc9Ra0U,Hush-A-Bye (Wee Rose of Kilarney),0,156880,0,"['Dick Haymes', 'Victor Young', 'His Orchestra']","['3BiJGZsyX9sJchTqcSA7Su', '3HqN7Sq7rmpOEI9UV5ERuz', '6lXiGaWjISZnER53ZJe6QO']",1922,0.279,0.128,0,-19.793,1,0.0406,0.994,0.613,0.116,0.145,79.121,5
7qiy1Sp4KTJKzQifOhY0IP,Everytime I Meet You,0,178653,0,"['Dick Haymes', 'Gordon Jenkins', 'His Orchestra']","['3BiJGZsyX9sJchTqcSA7Su', '58wzyK6DupVsypvs3QV2Fo', '6lXiGaWjISZnER53ZJe6QO']",1922,0.295,0.277,7,-10.849,1,0.0346,0.989,0.122,0.194,0.174,81.05,4
50zXyjVdFb3xAr3hnyYYn1,St. Louis Blues,23,189600,0,"['Bessie Smith', 'Louis Armstrong']","['5ESobCkc6JI4tIMxQttqeg', '19eLuQmk9aCobbVDHc6eek']",1923,0.355,0.114,10,-15.968,1,0.0588,0.991,0.00686,0.108,0.258,69.902,4
4ejUoPIMggFTVrAyvodqJQ,St. Louis Blues (with Louis Armstrong),23,190107,0,"['Bessie Smith', 'Louis Armstrong']","['5ESobCkc6JI4tIMxQttqeg', '19eLuQmk9aCobbVDHc6eek']",1923,0.408,0.145,10,-10.99,1,0.0501,0.994,4.73e-05,0.138,0.294,68.8,4
1xEEYhWxT4WhDQdxfPCT8D,Snake Rag,20,194533,0,"[""King Oliver's Creole Jazz Band""]",['08Zk65toyJllap1MnzljxZ'],1923,0.708,0.361,0,-11.764,0,0.0441,0.994,0.883,0.103,0.902,105.695,4
0BsejNoHTquhq19zkmOCCx,"Offenbach: Les contes d'Hoffmann, Act I: ""Drig, drig, drig, maître Luther"" (Chœur, Hermann, Luther, Nathanaël)",0,131640,0,"['Jacques Offenbach', 'André Cluytens', 'André Vessières', 'Camille Maurane', ""Chœurs du Théâtre National de l'Opéra-Comique"", 'Raymond Amade', ""Orchestre du Théâtre national de l'Opéra-Comique""]","['4OihBPCQzR4GfbzqOY69Xm', '2qGkessPTMJjSEYtxJ11KC', '0nkR6AYQAzWkJVuWCgO8Cj', '2RZnIJAotFh8csyD9QzNXE', '0b71hjRJS8qBC2ujTFlzzN', '7amV7sk8otyzT3FsIAHPnq', '04cR1nGtFodGYVWNoJFIMh']",1948-01-01,0.486,0.304,0,-15.192,1,0.0432,0.989,0.0,0.662,0.743,139.76,4
